"period","gdp","defgdp","conso","defconso","inves","definves","wage","shortrate","employ","hours","pop","loans_nfc","loans_hh","lendingrate","longrate","networth","houseprice"
1980-01-01,1364163.00634435,32.3409358958516,781304.111211231,32.1793131728436,313087.347479916,36.8897658227816,243116.028972992,12.7349629021971,125466.148982059,58308546.9969574,194710.555819944,1164.13126333182,651.418009471983,14.499545245109,12.0299635472498,NA,22.4893994356092
1980-04-01,1357757.49145206,33.1998003235553,776525.638844396,33.0737610106419,307830.013282551,38.0616627767851,249246.811097515,13.2369406426274,125709.610667202,58332777.8117454,195196.745550829,1212.08299443934,674.34751896627,15.1522013277715,12.251999953753,NA,22.7901741457453
1980-07-01,1356983.50328031,33.9844340441042,782149.288535125,33.9419513009855,306637.846235777,39.0545658525984,255923.663082567,12.2388908649945,125776.054446782,58351726.5303252,195687.040510106,1238.21610200786,687.409704025949,14.1617045381812,12.1854765887288,NA,23.3916193113521
1980-10-01,1357620.9176537,34.7104037841279,781719.29563302,34.9011818671792,303936.366001651,39.9561416391187,262771.428470729,12.6631560840749,125757.651297079,58208385.9976083,196180.414232403,1296.45176193889,722.675649245427,14.5329048226831,12.7720184510592,NA,24.293839187095
1981-01-01,1358930.85587747,35.5076214356969,781163.372566714,35.8245680765065,300928.852836201,41.1348286554118,268379.54092636,13.4327301679493,125696.952186675,58059240.5730399,196675.777456031,1322.78736322391,737.017917560933,15.2090978418406,13.2947333037231,NA,25.4967295183085
1981-04-01,1363001.60268167,36.5778512391509,780257.415204305,36.9390311987434,300521.717665087,42.4151574344494,278196.099266515,15.5076999514754,125429.360809512,57905209.5303601,197171.991258134,1356.20658599892,755.213705026992,17.4637593186151,14.4490519870385,NA,26.3778899516087
1981-07-01,1366762.1039063,37.6270730007229,782871.153572486,38.0106860632706,298408.331679379,43.4425400282262,287220.231984221,16.1332327689404,125227.926226479,57747212.1433083,197667.881691238,1389.0852819713,770.41864830497,17.733937048202,15.1479751547755,NA,26.9374247416609
1981-10-01,1369969.1376062,38.6686579500757,786857.261028564,39.2189059198737,291691.016623805,44.4816896891665,295568.630079502,15.4261347526855,125054.548715042,57540031.0917997,198162.255690205,1448.97730758299,795.196194196844,16.8266924168958,15.0278928196758,NA,27.1751253791342
1982-01-01,1375630.99691988,39.5900129189633,790156.965025894,39.9767763278787,291844.589822201,45.5339864444665,302032.775212569,14.3311571369592,124967.719031956,57331422.5568916,198653.917821297,1465.98083781174,802.69528743124,16.2089133966558,14.7099915280383,NA,27.0912003733597
1982-04-01,1377481.24532093,40.6957770166139,787806.584090179,41.050689210395,291602.941113311,46.5623946818465,308995.331685401,14.3998784079679,124797.045380768,57123006.1258166,199141.687457078,1503.46761348441,823.760716817924,16.3314615615548,14.4428732539126,NA,27.1792955657566
1982-07-01,1370134.06013376,41.5771070733974,783487.524096994,42.0581968146875,288763.641039571,47.4487108908816,315209.785944694,13.3493863482693,124461.591152425,56916401.3858075,199624.415962291,1535.14579587984,844.532646596163,15.5245055014412,14.1962015121118,NA,27.4395152109905
1982-10-01,1370721.86328806,42.4702244540636,788873.161685227,43.0458939585056,286589.388953617,48.2635029679511,321805.188457939,12.6064745549399,124274.186188943,56787164.5269591,200101.003466658,1602.11198080554,877.260823581578,14.4991182008048,13.6074906259143,NA,27.8716507997303
1983-01-01,1379848.32628551,43.3721354389843,793367.378579736,43.7986396454318,288911.270213235,48.9555318464088,326913.467489574,11.8863273092251,123998.073928819,56661856.2401148,200570.414956362,1613.62153510827,885.714087607801,13.8691064346963,12.9311432157663,NA,28.4759108413072
1983-04-01,1388877.15172665,44.1847372629835,793343.408852581,44.7074578540008,289114.203828318,49.8688791219913,334410.820583978,11.8474109592296,123879.394708291,56540973.8189805,201031.695385557,1649.86640018409,909.926022918218,13.8281708342824,12.8729377587828,NA,28.9405738857012
1983-07-01,1392485.4161148,45.1702034512358,791934.354874372,45.7399997600605,289952.088637588,50.9759234836419,343416.584846824,12.2185118334083,123756.231702886,56425014.557262,201483.983468647,1673.32549997243,932.293782551281,14.1351221614674,13.0644585863854,NA,29.2657441875781
1983-10-01,1407714.15292473,46.0678562229001,798652.826459252,46.8118864392218,287552.349375408,51.9045096485409,349408.485438484,12.1690058781433,123730.956513156,56287725.7628722,201926.523764162,1747.46637983187,965.191880362638,14.1156706655806,13.0207597202194,NA,29.4513174922721
1984-01-01,1419808.55713027,46.8800780910663,805791.026324823,47.5750353992148,289469.758081789,52.4067372915804,356886.483279669,11.4315611420011,123550.815446067,56156760.7569013,202358.676800103,1762.70521424112,973.597614087898,13.7044264476223,12.5442012974608,NA,29.4972937997834
1984-04-01,1413099.29883123,47.5711455144534,803129.949831155,48.3108346580808,282642.506029141,53.1511302940449,357866.327893514,10.8578106330637,123439.405565841,56033022.8746464,202779.926924519,1810.06340500068,997.743006976967,13.1981619152508,12.4429437016111,NA,29.5764230909423
1984-07-01,1427668.2989401,48.3352471572302,804683.909254102,49.0815584931683,286458.67876921,53.9663649557935,365469.073352544,10.413454807136,123601.128159109,55917415.4514049,203189.887492566,1847.96769918828,1017.3742095321,12.6785565458362,12.1476778654672,NA,29.6888096204143
