"period","debt","dirtax","indirtax","intpay","pubcons","pubinves","salaries","sce","scr","subs","tfs","totexp","totrev","unemp"
1980-01-01,697190.368815329,40071.7395715784,53044.3368755168,11589.5910746505,101513.615648493,23205.407200024,56265.1751355979,37066.4577267775,38138.3508851196,9620.1954471953,68745.1808550888,224019.329639484,202563.892261837,8410.88693399909
1980-04-01,715835.570443311,49070.4822759248,53962.3212500396,12427.0245796609,105604.430235761,23790.3620990865,58255.9169276803,38655.7183072031,39778.0638336189,11589.7309904638,74866.0736769118,249008.957411948,209179.701988755,8551.12206634985
1980-07-01,736096.403193089,50354.8699055155,55119.4566090926,13214.3675848796,108854.962315573,24181.3282000301,60122.5603398307,40083.857390219,41264.717580332,11815.5730681916,77808.9452967583,256114.854266498,214990.695109268,8613.60838369519
1980-10-01,733812.744731344,51653.8301428855,56326.7005967116,14313.0746511713,111852.88975198,24597.8397552876,61937.6665562433,41663.3711287217,42894.7345917681,12042.3523349516,81614.0313440178,264916.617954857,220438.228681137,8543.48324443291
1981-01-01,788025.058992338,44329.8089332847,57056.1599514464,15543.7195186855,115479.392681972,24949.8904926242,63883.6986918675,41209.3876646225,42404.3685744938,12278.2796936227,83051.2504764713,271470.959311371,225180.300049541,8454.53571946238
1981-04-01,822224.563285246,54325.26436735,58391.0563828122,16472.1797816296,117956.762484558,25486.2697737342,65446.2399375533,42611.2891874119,43861.4548944635,12477.7400034031,85507.8400614435,279648.758439095,230831.901168517,8551.82710779072
1981-07-01,859167.518919739,56008.1953898785,59668.810995656,17390.6119532166,121491.799592634,26480.1210789063,67157.8455874679,44109.5738632356,45407.7610659609,12629.0708317849,88251.4454188383,288629.431208319,237924.833340783,9128.69587603331
1981-10-01,883468.678445257,57503.7087261096,61463.9215440631,18473.5122742892,125103.274201746,27618.3490799428,69106.7664383106,45781.6145153095,47124.3875443816,12903.2899070256,91479.3974298677,297574.117612129,245848.663891598,9791.29704919446
1982-01-01,942180.646617094,58654.7122480937,63094.5164391134,19860.7371412186,128236.797539202,28191.3858593837,70933.4556918092,47084.1474156014,48458.8595558351,13270.7758925579,94339.9767951288,307089.002906067,253624.626506765,10149.15028124
1982-04-01,986339.519483561,60716.6986481102,64883.3958774949,20744.8175607121,130950.580624628,28119.2426318661,72526.4789896427,48527.1564829905,49945.6235957838,13682.6785638373,97362.4092369179,316004.220332365,260997.967014004,10845.7555731216
1982-07-01,1031689.33907952,62217.0376758441,66923.5582437596,21881.2368571876,133201.397289421,28592.3753789245,73774.2451249586,49833.409830403,51290.4164702116,14148.1490228003,100014.033005104,323706.722253279,268361.927082726,11275.9927944242
1982-10-01,1074060.70398082,64026.0446783035,68330.9394551403,22849.1627484496,135834.958533395,27957.3239308475,75065.427944092,50721.2430098917,52212.0219186254,14564.593373534,102264.51636458,330378.748422818,274591.237470302,11416.2961722487
1983-01-01,1116711.94294333,65060.7631869319,70498.5697968788,23575.1163142948,138042.76904602,28320.4352532816,76142.0751147447,52003.7279235506,53528.5997819793,14867.9407595342,104535.314451897,336404.354529547,282159.894333367,12261.8509318138
1983-04-01,1156626.03382653,67229.8453519995,71754.5370562929,24848.9850389047,140919.455982944,28701.136485895,77471.8344183391,52931.0327273061,54482.0415801914,15216.4701854023,106381.912772772,342851.289522122,286501.306966263,11512.6343284883
1983-07-01,1198438.2546067,69212.0964203699,73098.5310933976,26313.905929969,144093.397212178,28393.5783366955,79313.7489598563,53881.4182711475,55459.8563758423,15691.5111793528,108189.181253928,349949.78019444,292178.958387858,11044.730019406
1983-10-01,1240625.20084711,70859.376844016,75229.2861323097,27094.4460155952,146317.977925168,28725.3341715484,80578.2851737775,55074.3061966008,56688.3073424695,16267.1295120306,109917.024312986,357265.194222601,298983.352060435,11086.5662355207
1984-01-01,1292905.00724513,73291.434308355,76475.5946496548,27617.4972404572,148967.436612621,28694.4028887174,81823.930467601,55964.5189427736,57606.2392905592,17061.0156040859,111715.621988275,365676.926119128,304360.694309742,11229.252458507
1984-04-01,1344858.3934097,75333.6250452675,79021.8495131169,29358.6565025077,151836.004402286,29910.7263888283,83382.2961584585,57077.613827356,58749.7096141652,17720.7589449016,113478.368740785,372945.901720788,312791.395414927,11229.7829665665
1984-07-01,1396958.40135223,78024.4634157602,81348.0421979906,29499.9449683529,154345.619779867,29595.4482219682,84607.4137777085,58263.6453810405,59964.5229524829,18134.8867872939,115352.759411082,380589.292753028,320389.831290152,11384.7128765848
1984-10-01,1451072.60239101,79962.989627283,82438.0199226063,30773.2144394875,157678.348393622,30401.2192384839,85886.5607576685,59198.5514061735,60930.1652770152,18349.1171107121,117251.474233938,387856.925057985,326654.294147847,11437.6831700575
1985-01-01,1490920.43994352,82808.8949606596,83746.1736048896,30915.6546707125,160419.753314713,31613.700881694,87113.8389728012,60358.945207371,62127.4089963145,18388.6046931935,119248.510372396,395194.671017114,334570.563340471,11762.4374863397
1985-04-01,1532863.70093241,83629.86372842,84546.6730871926,31830.3285144642,162864.633775804,31943.8991710918,88320.2413592768,61522.3508816663,63327.8160584897,18480.1247406155,121397.999214108,402915.26470023,339405.79426225,11866.9712202759
1985-07-01,1574961.14150989,84433.8610007746,85190.6437233673,33126.5285413137,165792.21740078,33117.9338159864,90093.5399208711,62643.9841687436,64488.0818810404,18720.253305115,123538.786513987,410097.869263523,345010.197090416,11932.5573505338
1985-10-01,1616361.12268745,86402.2915249432,86606.8667505968,34143.0145777918,168783.506370941,33822.2105455856,92301.0524035995,63935.3710553996,65815.3339330769,19081.215663241,125798.24877015,417454.562176573,352235.104922628,11966.0927010109
1986-01-01,1668999.10904235,87900.3991847918,89604.0914883685,35803.9457410967,172233.728179553,34666.5901412521,94235.8830882461,65344.6593848937,67247.4004882369,19566.6611250889,128294.977046207,426376.944023361,358628.261744361,12256.0551276711
1986-04-01,1720461.39213267,90426.0529531054,91095.0221716712,35504.6994830634,174928.146275996,34241.7665137251,95685.3023795786,66467.4550289443,68405.3593213966,20043.995433721,130772.494922175,434307.808500948,368498.916980443,12377.5505725237
1986-07-01,1771723.77227118,92970.0039133269,92881.2814042417,41281.5384495575,177818.672927751,35156.7256625566,96574.1254751748,67603.630565499,69581.2463670739,20446.4255070814,133014.708154687,441709.57732972,375700.432158308,12411.7351628496
1986-10-01,1824081.03020699,94463.2138281357,94327.0882376368,35903.0727605201,179441.009623562,34879.5396355978,97226.6907142166,68649.3621212938,70662.5808561645,20788.9605027778,135142.642070852,448550.161767213,380686.069434567,12513.9283801297
1987-01-01,1863872.38638398,97018.8782767982,95722.2621637776,37671.2311974568,182402.182143231,34561.380168989,98894.8688109571,69598.4944502077,71650.6934181626,21084.6835793747,137011.626378708,453603.038097379,388265.13634848,12311.740189803
1987-04-01,1904157.94098701,98450.1389778877,97289.8033624248,37833.9951568769,185777.139825176,35340.7029566654,100586.530491183,70632.4177348388,72711.9523705101,21183.0350982109,138622.391554916,458937.352628846,389749.41476149,12095.0057185994
1987-07-01,1943140.47073582,100081.429583945,99290.5694901118,39381.6822688411,187889.515682108,35201.1236836718,101498.247223293,71740.4859378856,73834.677753332,21190.8357960138,140313.923996626,464715.308270226,396077.445034531,12185.3041261231
1987-10-01,1981425.56877222,102573.178690999,101416.12032273,38679.4582431717,191828.454043924,36554.3928342326,102596.513858541,72821.7047868467,74941.5378590021,21096.2496515437,142002.955600918,469088.820032934,401568.528936825,12331.3346294526
1988-01-01,2022255.35055176,103013.906166393,102652.408437263,38287.1142666224,192499.151379428,36967.7459359263,103661.264724801,73689.9820299818,75843.6500984864,20985.2677751811,143980.000454898,475511.355298557,403984.26675353,12765.5559862248
1988-04-01,2064106.1644329,105392.695344941,105027.356154158,39772.1088328042,195742.112226596,37849.4153667119,105222.004926226,74768.1665777016,76960.1395263075,20944.008651579,146117.597388107,482223.329697195,414549.076572478,13234.7635544852
1988-07-01,2107933.28528473,107901.42642336,106517.090357386,39787.3702108497,198844.52953519,38886.1464319412,106933.685379033,75918.8479462721,78150.666470121,20911.602055282,148442.764389402,489424.719906556,419824.666644936,13549.5030414637
1988-10-01,2152147.55837072,110509.266012386,108904.884747218,42108.0022505505,201274.169215311,40380.7126314968,108653.849264343,77156.6524478313,79424.5552645642,20904.6241555221,151156.519016633,500243.61698073,431216.786113354,13911.1501805968
1989-01-01,2205492.74571935,115956.751129421,111380.586913954,43153.9973164707,205420.005734866,41237.6576688549,110315.854111859,78897.3273807413,81212.9204308033,20926.4711416355,153768.71599224,508353.3404872,444562.300609984,13892.5230985243
1989-04-01,2258824.53638392,118700.86631622,113954.763096666,44333.9834507444,206775.788997268,42185.4199262648,111683.658228708,80600.8616280213,82959.9373055374,20994.6343599487,156932.2088604,518848.577730902,453455.984169311,13781.1332879747
1989-07-01,2313732.83158313,121673.197567227,117122.078717098,46477.1677912695,211016.495271468,43672.9695371014,114622.478349544,82461.6369061614,84872.3595210988,21112.8433024583,160220.571701284,529779.836385777,466683.896000723,13334.8623728169
1989-10-01,2372234.43307978,124144.056152307,119930.017147625,48274.2797688298,215060.96328589,44500.3349318722,117931.98558105,84481.9283822562,86963.9412396383,21294.7159686164,163923.999922955,541626.483521326,474761.433298809,12872.9591989833
1990-01-01,2426570.55185577,124358.740552505,121914.141189026,49666.1434977344,221633.455899115,46304.5346047105,121022.472650461,86324.6333874057,88815.9522431361,21425.9341631355,168095.8412224,558918.180973635,484076.081829615,12764.0672491724
1990-04-01,2485472.17599801,127440.621788729,124885.822484795,51462.5274625771,227213.029511944,47712.6095403627,123956.542491314,88202.9357254863,90771.6922028217,21594.5550401493,172159.231817666,573945.483152692,495368.151383972,13414.5390549679
1990-07-01,2547278.13682306,128941.140967225,127314.447009177,52487.9541216531,231402.785915048,48422.4747661944,126255.513362282,89848.0515698838,92518.602081078,21938.4847391282,176091.753332691,590574.401148868,502710.9043888,15041.3553711354
1990-10-01,2610765.01527917,133726.821582983,129211.645093738,54139.4155795634,235762.108642982,48857.3681511789,128478.525273674,91445.9807653838,94103.0358193293,22348.296326099,179557.7099435,605645.352133954,517475.117261763,16979.7951293348
1991-01-01,2677215.33748545,138166.698982613,132684.032793168,55725.4474405546,237481.403904493,48980.7112980877,130508.842491426,92965.1206709334,95922.9173001375,22905.7022225809,182446.686268667,618058.821620094,528036.389927303,19000.4714982368
1991-04-01,2743439.11353564,141011.41572409,134074.414949186,56500.2722362768,243597.005650234,50634.6881661114,133056.412242178,95189.9254302357,97981.6830386295,23219.7203737758,185821.818052441,631425.480732402,538026.50884619,20559.9073928162
1991-07-01,2809174.53246594,145045.814340855,136335.174829943,58710.6929517104,247821.033511992,51367.3258735295,135277.781769968,97260.0641284926,99831.8783580497,23080.5619466647,189808.617321453,645421.667386322,552385.133098909,21776.3697602601
1991-10-01,2876105.38264346,146522.917464204,138578.5850098,61405.3232347218,253186.555635126,52332.6690510349,137857.027201997,99630.9305669216,101851.649422355,22807.2812220748,194288.822627061,658144.358016874,558328.025029614,22562.6304972494
1992-01-01,2935391.0612588,149422.761115056,140069.802069185,64609.583045152,259633.365131086,53544.1934186492,140616.044027348,102479.691556464,103989.70200331,22372.8798773036,199604.480942231,670029.382780015,569379.072871697,23167.0660036398
1992-04-01,2997380.67875125,150436.197268656,142923.455823581,67733.2699701535,262066.888638941,52220.6015812151,142667.450101562,104002.7707918,104845.793667725,22417.8961262075,204203.136522212,681921.662637616,579992.876716094,24066.7367823783
1992-07-01,3062144.47526158,152162.123278525,144162.207075396,68697.6416982479,266872.395903101,52628.6469972794,145230.183265942,106436.017267181,106388.929487307,23014.8801521478,208071.623075415,691743.38206877,585966.248189268,24795.2157978725
1992-10-01,3128804.31514782,151871.553955317,145474.97024255,70364.2890754007,270281.894938037,50850.1529433387,146035.01424738,108088.309137867,107113.236628292,23709.666251052,211090.7928612,698167.181578689,592695.530587587,26018.1002004682
1993-01-01,3210984.05887294,153007.690582264,146235.667274112,69319.5779418653,269765.149776749,50431.7613526805,145584.336454694,109394.017750718,107235.108391637,24525.5226132244,214022.309177544,708778.276808049,596447.448110512,27993.2772399109
1993-04-01,3293842.31643788,153520.209280753,147097.481480779,69953.9603306717,273033.519727275,49931.1377535551,146487.162721241,111393.940066265,108155.640186603,24805.4305355383,216482.372503145,714256.779078403,599055.142142547,29150.2171195836
1993-07-01,3377173.57451217,153383.5709738,148726.006741088,72153.4812755338,273848.813600661,49704.1411836316,147454.433975565,112601.012759236,108227.6558411,24568.1932566887,218705.639405588,717961.780750938,605689.981914233,29821.9736161906
1993-10-01,3462366.8942318,153474.525110858,150196.234002391,69094.2873580504,273870.647411601,50049.4989410515,148560.594116309,114159.451312225,108778.664602425,24263.0749073898,221149.694297425,724526.546173322,611774.102727115,29917.0399895799
1994-01-01,3531030.87632442,152727.915169406,154598.407555427,68966.174238955,278783.490525657,49685.5940249534,149643.759714521,116325.886688682,109605.740165046,23960.6027847143,223049.209801791,725881.726621961,619971.986768315,28931.6403059022
1994-04-01,3604775.11890551,153614.084904416,156046.343924213,69818.0593051271,277990.144631153,50021.1898165466,150079.06528452,117783.871281161,110245.851389419,24039.0051169926,225352.379009858,730645.999251947,623606.752081075,28105.9231115028
1994-07-01,3684536.29810757,154600.448157433,157655.575606573,70247.1840304855,279705.694583631,49247.3306333948,149929.805962729,119768.919802425,111434.413394119,24253.9461581068,227587.616524499,738754.86294169,623809.632338347,27720.4255773458
1994-10-01,3768443.84360262,157029.474052497,160117.339941826,72854.764913679,281887.797289809,50299.1197584315,150511.001488506,121709.46072534,112661.870802653,24401.5163005349,229884.062441902,745169.451230606,627809.882217489,27312.2219569557
1995-01-01,3879677.48053501,158014.450414688,159815.720044048,75148.3375861238,283558.287116863,50384.8216585228,152621.410249099,123057.663671296,113785.469802422,24492.2614874964,231906.206409914,755835.242797733,631796.425189785,26544.0057312164
