"period","value","country","var"
1980-01-01,24.5049500525041,"France","world_demand"
1980-04-01,23.6839358795757,"France","world_demand"
1980-07-01,23.2756625151646,"France","world_demand"
1980-10-01,23.0175375675874,"France","world_demand"
1981-01-01,23.0636492818188,"France","world_demand"
1981-04-01,23.207223067281,"France","world_demand"
1981-07-01,23.7519599769318,"France","world_demand"
1981-10-01,23.6242169780915,"France","world_demand"
1982-01-01,24.0263161441032,"France","world_demand"
1982-04-01,23.7327430045456,"France","world_demand"
1982-07-01,23.5842332206455,"France","world_demand"
1982-10-01,23.1258644948321,"France","world_demand"
1983-01-01,23.3131393962274,"France","world_demand"
1983-04-01,24.0721909066249,"France","world_demand"
1983-07-01,24.360253440968,"France","world_demand"
1983-10-01,25.0395334413561,"France","world_demand"
1984-01-01,25.605496612956,"France","world_demand"
1984-04-01,26.018018079944,"France","world_demand"
1984-07-01,26.8195720789185,"France","world_demand"
1984-10-01,26.9438979594751,"France","world_demand"
1985-01-01,27.4969635901498,"France","world_demand"
1985-04-01,27.2748719477668,"France","world_demand"
1985-07-01,27.3671275794795,"France","world_demand"
1985-10-01,27.7407210637215,"France","world_demand"
1986-01-01,27.9117738266223,"France","world_demand"
1986-04-01,28.8502795519522,"France","world_demand"
1986-07-01,29.2144871995644,"France","world_demand"
1986-10-01,29.3772111999587,"France","world_demand"
1987-01-01,29.5443829352989,"France","world_demand"
1987-04-01,30.2322248985581,"France","world_demand"
1987-07-01,31.2107660290456,"France","world_demand"
1987-10-01,32.0111587696431,"France","world_demand"
1988-01-01,31.5855462868081,"France","world_demand"
1988-04-01,32.6047749849366,"France","world_demand"
1988-07-01,33.6533638508453,"France","world_demand"
1988-10-01,34.8185687753701,"France","world_demand"
1989-01-01,35.3075671040379,"France","world_demand"
1989-04-01,35.8642042767115,"France","world_demand"
1989-07-01,36.228032062663,"France","world_demand"
1989-10-01,36.8100194475899,"France","world_demand"
1990-01-01,37.6336326775321,"France","world_demand"
1990-04-01,38.3315428630082,"France","world_demand"
1990-07-01,38.5727201984492,"France","world_demand"
1990-10-01,39.4034416675503,"France","world_demand"
1991-01-01,39.3258916258937,"France","world_demand"
1991-04-01,39.784257497731,"France","world_demand"
1991-07-01,40.1199893671065,"France","world_demand"
1991-10-01,40.4918453588608,"France","world_demand"
1992-01-01,41.6943662634959,"France","world_demand"
1992-04-01,41.8923768261267,"France","world_demand"
1992-07-01,41.7945685045537,"France","world_demand"
1992-10-01,41.6589783298586,"France","world_demand"
1993-01-01,40.2616648195238,"France","world_demand"
1993-04-01,40.1069880321363,"France","world_demand"
1993-07-01,40.5787647173081,"France","world_demand"
1993-10-01,41.1418350225231,"France","world_demand"
1994-01-01,42.1865776435161,"France","world_demand"
1994-04-01,43.4296646360519,"France","world_demand"
1994-07-01,44.2973263820594,"France","world_demand"
1994-10-01,45.8071354996144,"France","world_demand"
1995-01-01,46.1998406834137,"France","world_demand"
1995-04-01,47.3835930552196,"France","world_demand"
1995-07-01,47.6364919510675,"France","world_demand"
1995-10-01,48.2086332895039,"France","world_demand"
1996-01-01,48.6848167700444,"France","world_demand"
1996-04-01,48.9064141067771,"France","world_demand"
1996-07-01,49.7596486817773,"France","world_demand"
1996-10-01,51.0409885333226,"France","world_demand"
1997-01-01,52.5301349496212,"France","world_demand"
1997-04-01,54.0673404301438,"France","world_demand"
1997-07-01,55.2308966902033,"France","world_demand"
1997-10-01,56.5020599863943,"France","world_demand"
1998-01-01,57.9934128607234,"France","world_demand"
1998-04-01,58.9230811610025,"France","world_demand"
1998-07-01,59.3066832008355,"France","world_demand"
1998-10-01,60.480507951518,"France","world_demand"
1999-01-01,61.7289587530645,"France","world_demand"
1999-04-01,63.2095739229396,"France","world_demand"
1999-07-01,64.9075720387971,"France","world_demand"
1999-10-01,66.5680298954299,"France","world_demand"
2000-01-01,68.3970848630829,"France","world_demand"
2000-04-01,70.1462356261414,"France","world_demand"
2000-07-01,71.9045013880732,"France","world_demand"
