"period","conso_d","conso_nd","conso_s","gdp","defgdp","inves","definves","loans_nfc","loans_hh","houseprice","hours","wage","longrate","pop","shortrate","riskrate","networth"
2006-10-01,957019.988708398,2426565.24909658,7741511.170343,16561866,84.77,2818228,94.932,9008.559,13384.72,138.5653,95.747,78.147,4.63,193910.731741385,5.24666666666667,6.28,49.92
2006-07-01,943625.333343746,2393168.21960791,7686380.88021445,16420738,84.468,2871589,94.353,8746.91,13122.07,138.5682,95.343,76.895,4.89666666666667,193507.253237622,5.24666666666667,6.59,46.04
2006-04-01,930198.429148046,2379601.96297192,7646548.81828843,16396151,83.882,2882564,93.988,8596.881,12798.181,139.6325,94.948,76.711,5.07,192972.75022883,4.90666666666667,6.74,45.96
2006-01-01,929733.910436844,2374866.41321127,7592094.79173489,16353835,83.156,2899229,93.464,8365.56,12443.886,140.62,94.652,76.649,4.57,192484.87861481,4.45666666666667,6.31,45.78
2005-10-01,894139.011358717,2350564.94878718,7549057.15421926,16136734,82.571,2857350,92.577,8188.29,12088.025,138.0519,93.731,75.154,4.49,191959.667251259,3.98,6.34,43.35
2005-07-01,921608.800334154,2318213.91807044,7519159.31081543,16047587,81.898,2769106,91.404,7999.589,11791.421,134.3382,93.17,74.689,4.21333333333333,191241.909601586,3.46,5.98,42.89
2005-04-01,903837.153476553,2309601.20974777,7461989.26875735,15922782,81.158,2733225,90.606,7870.315,11432.808,129.8272,92.876,73.766,4.16,190691.890117977,2.94333333333333,5.97,40.8
2005-01-01,880362.783539515,2291485.29188396,7394519.03156397,15844727,80.578,2769261,89.774,7700.626,11101.795,124.8865,92.337,73.33,4.29666666666667,190220.565890604,2.47,5.97,40.84
2004-10-01,876230.021405423,2270218.90373356,7352601.40034191,15670880,79.939,2693575,88.733,7581.525,10896.039,119.9486,92.149,72.831,4.17333333333333,189656.082006946,1.95,6.19,39.53
2004-07-01,859930.670120753,2247527.70158558,7279110.96978727,15512619,79.324,2638672,87.858,7456.566,10544.071,115.5872,91.664,72.521,4.30333333333333,189031.878470305,1.43333333333333,6.45,37.09
2004-04-01,838352.248494432,2231522.18902687,7202897.97242305,15366850,78.824,2597507,87.107,7351.706,10267.971,111.7805,91.092,71.246,4.6,188521.495751261,1.01,6.66,37.65
2004-01-01,836269.369674184,2222684.30376561,7155082.60829329,15248680,78.193,2498140,86.226,7268.77,9956.29,107.523,91.013,69.897,4.02,187835.723193405,1.00333333333333,6.27,37.85
2003-10-01,821859.337419332,2205784.6810983,7095524.72191031,15162760,77.639,2493928,85.46,7143.484,9765.343,103.9886,90.626,70.031,4.28666666666667,187886.971122595,0.996666666666667,6.66,35.07
2003-07-01,810165.049235305,2193280.65366624,7055302.01271848,14988782,77.169,2411638,84.768,7126.2,9507.93,100.6836,90.192,69.058,4.23333333333333,187369.243184749,1.01666666666667,6.81,32.81
2003-04-01,775850.492230971,2153481.47426958,7008466.44235844,14743567,76.73,2327492,84.743,7088.902,9252.597,97.8469,90.063,68.046,3.62,186688.664390764,1.24666666666667,6.47,30.22
2003-01-01,742210.268111957,2136590.11945714,6967035.26894227,14614141,76.461,2312465,84.768,7056.899,8866.59,95.7806,90.326,66.889,3.92,185869.217997012,1.25,7.12,27.46
2002-10-01,741469.907820968,2119318.04184909,6936031.62344784,14537580,76.089,2293746,84.688,7048.478,8679.912,93.8885,90.797,66.481,4.00666666666667,184718.55173814,1.44333333333333,7.6,28.08
