country,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01
BE,74.9,74.1,74.7,74,74.4,75,74.7,74.9,74.8,76.5,76.5,76.7,76.8,76.9,77.7,77.8,77.8,77.8
BG,91.4,91.4,91.6,91.3,88.1,88.2,88.8,85.9,89.1,87.8,85.6,84.1,84.8,82.5,86.5,87.7,85.7,85.6
CZ,79.7,79.7,79.7,79.7,79.7,79.7,79.7,80.8,80.9,82.1,86.7,89,89.5,93,93.1,96.2,95.3,95.4
DK,72.4,72.8,73.8,72.5,72.8,75.5,75.8,75.5,74.5,73.7,72.6,72.6,72.8,75.9,75,71.9,71.3,70.4
DE,75.7,72.9,73.4,72.4,70.4,73.6,75.2,76.3,76.1,75,72.1,71.9,70.3,72.4,72.9,72.9,72,73.4
EE,95.9,95.9,93.7,94.5,93.6,92.9,93.8,91.5,91.3,90.2,86.4,88.6,90.4,90.4,89.3,88.8,89.2,90.6
IE,84.3,84.2,84,83,84.2,83.3,81.7,81.1,80.2,80.4,80.4,80.4,80.5,80.5,80.5,80.5,82.9,82.9
EL,47.3,48.4,49.7,48.4,49.8,49.5,49.4,48.7,46.4,50.7,51.9,51,50.7,50,50.3,50.5,47.7,50.2
ES,65.2,67,67.2,66.5,66.6,67.9,69.1,70.1,70.2,70.9,69.9,67.2,68.2,70.9,72.4,73,72.1,72.1
FR,60.3,60.3,60.3,60.3,60.3,58.3,60.3,59.3,59.3,59.3,59.4,58.2,58.4,58.1,57.8,54.2,54.2,54.5
HR,81,81,81,81,81,80.6,75.4,74.2,77.8,79.3,80.7,82.3,83.5,84.3,85.1,84.6,84.9,83.6
IT,58.9,57.8,56.7,55.6,56.4,56.7,56.1,56.8,56,55.4,55.2,54.4,54.4,55.6,55.1,54.7,54.6,54.6
CY,89.1,89.1,89.1,89.1,89.1,89.1,89.1,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5
LV,99.5,99.3,99.2,98.9,97.5,95.3,96.5,95,96.8,97.2,97.5,96.8,96.8,96.9,95.3,92.6,88.7,87.4
LT,91.7,91.7,91.7,91.7,91.7,90.8,90.4,90,91.2,91.3,90.1,89.6,88,86.2,84.3,85.9,85.4,85.8
LU,69.5,69.5,68.8,69.6,71.6,73.8,75.4,74.7,73.2,72.4,73.1,74.4,74,77.5,77,76.6,75.6,75.6
HU,81.3,80.5,80.5,80.9,80.2,79,80.3,84.5,84.9,86.3,86.2,85.6,79.6,82.8,79.4,82.8,82.8,84.4
MT,69.2,69.2,69.2,71,71,70.7,70.9,71.2,70.8,69.4,68.5,69.6,69.4,70,69.7,70.2,70.4,72.4
NL,65.5,65.1,64.7,65.9,67,68.2,64.3,65.9,67.4,68.8,70.2,70.2,73,73,73,73,73,73
AT,62.9,60.4,62.4,62.2,62.5,62.9,59.5,62,63,62.4,63,64,64.5,64.7,63.7,63.3,63.8,64.8
PL,48.8,52,51.7,51,52.5,52.6,53,51.9,50.9,53.1,51.5,50.1,45,49.3,48.4,48.9,47.8,49.4
PT,63.1,63.1,63.1,63.1,65.1,64.8,63.5,64.1,63.5,63.7,63.5,63.6,60.6,58.9,59.1,61.2,59.1,59.1
RO,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,64.3,63.4,69,69.2,68.9,67.1,68.6,74.3,73,73.7
SI,89.4,88.9,89.1,89.3,88.9,90.2,90.7,90.4,90.8,90,89.4,87.6,82.2,83.7,87.2,87.8,87.9,87.9
SK,81.9,81.9,81.9,81.9,81.9,81.9,83,83,87.3,82.6,84.8,85.4,86.4,88.1,93.9,94.3,93.8,94.3
FI,66.1,67.6,67.3,68.6,68.3,67.9,70.3,70.6,70.3,68.8,68.2,67.3,66.3,69.1,69.1,67.3,66.7,66.4
SE,71.5,70.9,70.6,71.1,68.8,67.6,71.1,71.6,69,68.4,68.3,66.3,66.3,69.8,68.9,69.1,71.6,71.2
UK,76.4,75.5,74.6,74.3,74.5,75.8,75.2,74.9,74.2,73.6,73.7,73.1,73,72.4,73.3,74.8,75.7,75.8
NO,74.3,74.2,74.6,75.4,75.2,73.8,74.1,75.4,76.3,75.6,73.6,75,73.6,74.9,73.4,72.7,73.6,73.6
