country,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01
BE,74.8,76.7,76.7,77,77.3,77.6,77.9,78,78.1,77.3,77,76,76
BG,89.1,87.8,85.6,84.1,84.8,82.5,86.5,87.7,85.7,85.6,86.4,87.4,87.8
CZ,80.9,82.1,86.7,89,89.5,93,93.1,96.2,95.3,95.4,95.5,97,95.8
DK,74.5,73.7,72.6,72.6,72.8,75.9,75,71.9,71.6,71.2,69.4,68.1,67.6
DE,76.1,75,72.1,71.9,70.3,71.2,73.2,72.7,72.5,72.3,72.1,72.1,72.4
EE,91.3,90.2,86.4,88.6,90.4,90.4,89.3,88.8,89.2,90.7,91.2,91.3,90.7
IE,80.2,80.4,80.4,80.4,80.5,80.5,80.5,80.5,82.9,83.4,83.2,83.7,83.7
EL,46.4,50.7,51.9,51,50.7,50,50.3,50.5,47.7,50.2,50.2,50.2,50.2
ES,70.2,70.9,69.9,67.2,68.2,70.9,72.4,73,72.1,70.7,69.5,68.4,67.6
FR,59.3,59.3,59.4,58.2,58.4,58.1,57.8,54.2,54.2,56.8,55.4,55.4,55.3
HR,77.8,79.3,80.7,82.3,83.5,84.3,85.1,84.7,84.9,83.6,80.4,80.4,76.3
IT,56,55.4,55.2,54.4,54.4,55.6,55.1,54.7,54.5,55,54.4,53.5,53.5
CY,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5
LV,96.8,97.2,97.5,96.8,96.8,96.9,95.3,92.6,88.7,87.4,87,87.3,87.9
LT,91.2,91.3,90.1,89.6,88,86.2,84.3,85.9,85.4,85.8,86.3,85.5,84.9
LU,73.2,72.6,72.3,72.8,71.8,74.5,73.3,73.2,72.4,72,73.3,73.6,73.6
HU,84.9,86.3,86.2,85.6,79.6,82.8,79.4,82.8,82.8,84.4,84,83.9,83.4
MT,70.8,69.4,68.4,69.6,69.3,69.8,69.5,69.9,70.1,70.7,70.6,70.9,71.2
NL,76.4,71.6,70.8,70.3,69.6,68.7,73.2,71.4,72.4,71.7,68.5,63.8,67.1
AT,61.4,60.7,61.1,62.2,62.8,63.1,62,61.7,62.4,62.6,62.2,61.1,61.6
PL,50.9,53.1,51.5,50.1,45,49.3,48.4,48.9,47.8,49.4,47.8,48,48
PT,63.5,63.7,63.5,63.6,60.6,58.9,59.1,61.2,59.1,54.8,55.6,55.4,55.4
RO,64.3,63.4,69,69.2,68.9,67.1,68.6,74.3,73,73.7,74.1,66.9,64.1
SI,90.8,90,89.4,87.6,82.2,83.7,87.2,87.8,87.9,86.4,89.1,87.8,87.8
SK,87.3,82.6,84.8,85.4,86.5,88.1,93.9,94.3,93.8,94.4,93.8,94,94.1
FI,70.3,68.8,68.2,67.3,66.3,69.1,69.1,67.3,66.7,66.4,65.5,63.5,63.4
SE,69,68.4,68.3,66.3,66.3,69.8,68.9,69.1,71.6,71.6,70.9,70.2,69.1
UK,74.2,73.6,73.7,73.1,73,72.2,73.2,74.8,75.5,74.7,73.7,72.8,72.1
NO,76.3,75.6,73.6,75,73.6,74.9,73.4,72.7,73.6,73.6,73.9,73.6,73.6
