country,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01
BE,76.7,76.7,77,77.3,77.6,77.9,78,78.1,77.3,77,76.1,75.3,73.9,73.9
BG,87.8,85.6,84.1,84.8,82.5,86.5,87.7,85.7,85.6,86.4,87.4,87.8,88.5,88.6
CZ,82.1,86.7,89,89.5,93,93.1,96.2,95.3,95.4,95.5,96.9,95.5,95.5,95.7
DK,73.7,72.6,72.6,72.8,75.9,75,71.9,71.6,71.2,69.4,68,67.5,68.1,68.1
DE,75,72.1,71.9,70.3,71.2,73.2,72.7,72.7,72.7,72.8,72.6,72.5,71.7,72
EE,90.2,86.4,88.6,90.4,90.4,89.3,88.8,89.2,90.7,91.2,91.3,90.7,90.9,90.9
IE,80.4,80.4,80.4,80.5,80.5,80.5,80.5,82.9,83.4,83.2,83.7,80.9,83.6,83.6
EL,50.7,51.9,51,50.7,50,50.3,50.5,47.7,50.2,50.2,50.2,50.2,50.2,50.2
ES,70.9,69.9,67.2,68.2,70.9,72.4,73,72.1,70.7,69.5,68.4,67.6,67.3,66.6
FR,59.3,59.4,58.2,58.4,58.1,57.8,54.2,54.2,56.8,55.4,55.4,55.2,55.8,55.8
HR,79.3,80.7,82.3,83.5,84.3,85.1,84.7,84.9,83.6,80.4,80.4,76.3,75,75
IT,55.4,55.2,54.4,54.4,55.6,55.1,54.7,54.5,55,54.4,53.5,53.9,53.8,53.8
CY,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5
LV,97.2,95.5,95.7,96.6,96.3,94.4,89,87.1,87.1,86.8,86.1,86.5,85.8,84.7
LT,91.3,90.1,89.6,88,86.2,84.3,85.9,85.4,85.8,86.3,85.5,84.9,83.3,83.3
LU,72.6,72.3,72.8,71.8,74.5,73.3,73.4,72.7,72.5,73.7,73.4,73.9,73.5,73.5
HU,86.3,86.2,85.6,79.6,82.8,79.4,82.8,82.8,84.4,84,83.9,84.1,83.8,84
MT,69.4,68.4,69.5,69.2,69.7,69.3,69.7,69.8,70.4,70.3,70.5,69.7,70.4,74.1
NL,71.6,70.8,70.3,69.6,68.7,73.2,71.4,72.4,71.7,69.5,63.9,66.7,66.2,61.8
AT,60.7,61.1,62.2,62.8,63.1,62,61.7,62.5,62.6,62.2,61.7,61.7,60.3,60.3
PL,53.1,51.5,50.1,45,49.3,48.4,48.9,47.8,48.5,47.7,48,47.3,47.9,47.8
PT,63.7,63.5,63.6,60.6,58.9,59.1,61.2,59.1,54.8,55.6,55.4,57.3,59,59
RO,63.4,69,69.2,68.9,67.1,68.6,74.3,73,73.7,74.1,66.9,64.1,58.7,65
SI,90,89.4,87.6,82.2,83.7,87.2,87.8,87.9,86.4,89.8,88.4,87.3,88,88
SK,82.6,84.8,85.4,86.5,88.1,93.9,94.3,93.8,94.4,93.8,93.9,94.3,95,96.4
FI,68.8,68.2,67.3,66.3,69.1,69.1,67.3,66.7,66.4,65.5,63.5,62.3,61.8,61
SE,68.4,68.3,66.3,66.3,69.8,68.9,69.1,71.6,71.6,70.9,70.2,68.6,68.6,68.6
UK,73.6,73.7,73.1,73,72.2,73.2,74.8,75.5,74.7,73.7,73.1,71.1,72.4,72.3
NO,75.6,73.6,75,73.6,74.9,73.4,72.7,73.6,73.6,73.9,73.6,68.4,70.1,70.1
